Sorting	Array	Total	Data	Duration	Duration	Duration	Swap	Swap	Swap	Comparison	Comparison	Comparison
Method	Type	Runs	Size	Avg. (ns)	High (ns)	Low (ns)	Avg.	High	Low	Avg.	High	Low

SortBubble	Random	10	500	3589122	6613620	3024547	62598	64828	60509	124750	124750	124750
SortSelection			500	2112286	3857124	1696025	499	499	499	124750	124750	124750
SortInsertion			500	1732518	4989182	1075695	62726	65867	60219	63218	66359	60709
SortBinaryInsertion			500	1128823	3962725	563270	63808	65947	60656	5790	5827	5741
SortShell			500	334874	1425321	133676	2866	3023	2774	5653	5821	5557
SortHeap			500	291482	959759	198699	4038	4069	4019	7428	7440	7412
SortMerge			500	288612	1079117	178654	8976	8976	8976	3859	3877	3840
SortQuick			500	213972	608876	133397	1072	1094	1030	5508	5837	5067
