Archive #0,,,,,
index,total,avg,sum,min,max
0,20,1.000000,20.000000,1.000000,1.000000
1,20,1.000000,20.000000,1.000000,1.000000
2,20,1.000000,20.000000,1.000000,1.000000
3,20,1.000000,20.000000,1.000000,1.000000
4,20,1.000000,20.000000,1.000000,1.000000
5,20,1.000000,20.000000,1.000000,1.000000
6,20,1.000000,20.000000,1.000000,1.000000
7,20,1.000000,20.000000,1.000000,1.000000
8,20,1.000000,20.000000,1.000000,1.000000
9,20,1.000000,20.000000,1.000000,1.000000
10,20,1.000000,20.000000,1.000000,1.000000
11,20,1.000000,20.000000,1.000000,1.000000
12,20,1.000000,20.000000,1.000000,1.000000
13,20,1.000000,20.000000,1.000000,1.000000
14,20,1.000000,20.000000,1.000000,1.000000
15,20,1.000000,20.000000,1.000000,1.000000
16,20,1.000000,20.000000,1.000000,1.000000
17,20,1.000000,20.000000,1.000000,1.000000
18,20,1.000000,20.000000,1.000000,1.000000
19,10,1.000000,10.000000,1.000000,1.000000
,,,,,
Archive #1,,,,,
index,total,avg,sum,min,max
0,100,1.000000,100.000000,1.000000,1.000000
1,100,1.000000,100.000000,1.000000,1.000000
2,100,1.000000,100.000000,1.000000,1.000000
3,100,1.000000,100.000000,1.000000,1.000000
4,100,1.000000,100.000000,1.000000,1.000000
5,100,1.000000,100.000000,1.000000,1.000000
6,100,1.000000,100.000000,1.000000,1.000000
7,100,1.000000,100.000000,1.000000,1.000000
8,100,1.000000,100.000000,1.000000,1.000000
9,100,1.000000,100.000000,1.000000,1.000000
10,100,1.000000,100.000000,1.000000,1.000000
11,100,1.000000,100.000000,1.000000,1.000000
12,100,1.000000,100.000000,1.000000,1.000000
13,100,1.000000,100.000000,1.000000,1.000000
14,100,1.000000,100.000000,1.000000,1.000000
15,100,1.000000,100.000000,1.000000,1.000000
16,100,1.000000,100.000000,1.000000,1.000000
17,100,1.000000,100.000000,1.000000,1.000000
18,100,1.000000,100.000000,1.000000,1.000000
19,100,1.000000,100.000000,1.000000,1.000000
20,100,1.000000,100.000000,1.000000,1.000000
21,100,1.000000,100.000000,1.000000,1.000000
22,100,1.000000,100.000000,1.000000,1.000000
23,100,1.000000,100.000000,1.000000,1.000000
24,100,1.000000,100.000000,1.000000,1.000000
25,100,1.000000,100.000000,1.000000,1.000000
26,100,1.000000,100.000000,1.000000,1.000000
27,100,1.000000,100.000000,1.000000,1.000000
28,100,1.000000,100.000000,1.000000,1.000000
29,50,1.000000,50.000000,1.000000,1.000000
,,,,,
Archive #2,,,,,
index,total,avg,sum,min,max
0,200,1.000000,200.000000,1.000000,1.000000
1,200,1.000000,200.000000,1.000000,1.000000
2,200,1.000000,200.000000,1.000000,1.000000
3,200,1.000000,200.000000,1.000000,1.000000
4,200,1.000000,200.000000,1.000000,1.000000
5,200,1.000000,200.000000,1.000000,1.000000
6,200,1.000000,200.000000,1.000000,1.000000
7,200,1.000000,200.000000,1.000000,1.000000
8,200,1.000000,200.000000,1.000000,1.000000
9,200,1.000000,200.000000,1.000000,1.000000
10,200,1.000000,200.000000,1.000000,1.000000
11,200,1.000000,200.000000,1.000000,1.000000
12,200,1.000000,200.000000,1.000000,1.000000
13,200,1.000000,200.000000,1.000000,1.000000
14,200,1.000000,200.000000,1.000000,1.000000
15,200,1.000000,200.000000,1.000000,1.000000
16,200,1.000000,200.000000,1.000000,1.000000
17,200,1.000000,200.000000,1.000000,1.000000
18,200,1.000000,200.000000,1.000000,1.000000
19,200,1.000000,200.000000,1.000000,1.000000
20,200,1.000000,200.000000,1.000000,1.000000
21,200,1.000000,200.000000,1.000000,1.000000
22,200,1.000000,200.000000,1.000000,1.000000
23,200,1.000000,200.000000,1.000000,1.000000
24,200,1.000000,200.000000,1.000000,1.000000
25,200,1.000000,200.000000,1.000000,1.000000
26,200,1.000000,200.000000,1.000000,1.000000
27,200,1.000000,200.000000,1.000000,1.000000
28,200,1.000000,200.000000,1.000000,1.000000
29,50,1.000000,50.000000,1.000000,1.000000
,,,,,
Archive #3,,,,,
index,total,avg,sum,min,max
0,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
1,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
2,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
3,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
4,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
5,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
6,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
7,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
8,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
9,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
10,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
11,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
12,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
13,934,1.000000,934.000000,1.000000,1.000000
14,1000,1.000000,1000.000000,1.000000,1.000000
15,1000,1.000000,1000.000000,1.000000,1.000000
16,1000,1.000000,1000.000000,1.000000,1.000000
17,1000,1.000000,1000.000000,1.000000,1.000000
18,1000,1.000000,1000.000000,1.000000,1.000000
19,1000,1.000000,1000.000000,1.000000,1.000000
20,1000,1.000000,1000.000000,1.000000,1.000000
21,1000,1.000000,1000.000000,1.000000,1.000000
22,1000,1.000000,1000.000000,1.000000,1.000000
23,50,1.000000,50.000000,1.000000,1.000000
,,,,,
Archive #4,,,,,
index,total,avg,sum,min,max
0,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
1,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
2,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
3,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
4,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
5,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
6,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
7,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
8,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
9,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
10,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
11,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
12,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
13,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
14,0,NaN,0.000000,340282346638528860000000000000000000000.000000,-340282346638528860000000000000000000000.000000
15,934,1.000000,934.000000,1.000000,1.000000
16,3000,1.000000,3000.000000,1.000000,1.000000
17,3000,1.000000,3000.000000,1.000000,1.000000
18,3000,1.000000,3000.000000,1.000000,1.000000
19,50,1.000000,50.000000,1.000000,1.000000
,,,,,
